byte code (DEC),ASCII Representation of Action,Action Description
0,,Ignore
1,,10-bit Action Codes 0x01
2,,10-bit Action Codes 0x02
3,,10-bit Action Codes 0x03
4,,
5,,
6,,
7,,
8,BAC,Backspace
9,TAB,Horizontal Tabulation
10,LF,"Line Feed, New Line"
11,,
12,,
13,CR,Carriage Return
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,ESC,Escape
28,,
29,,
30,,
31,,
32, ,Space
33,!,Exclamation Point
34,"""",Double Quote
35,#,Hash Symbol
36,$,Dollar Sign
37,%,Percent
38,&,Amperstand
39,',Single Quote
40,(,Left Parenthesis
41,),Right Parenthesis
42,*,Asterisk
43,+,Plus
44,",",Comma
45,-,Minus
46,.,Period
47,/,Forward Slash
48,0,Zero
49,1,One
50,2,Two
51,3,Three
52,4,Four
53,5,Five
54,6,Six
55,7,Seven
56,8,Eight
57,9,Nine
58,:,Colon
59,;,Semicolon
60,<,Less Than
61,=,Equals
62,>,Greater Than
63,?,Question Mark
64,@,At Symbol
65,A,Uppercase A
66,B,Uppercase B
67,C,Uppercase C
68,D,Uppercase D
69,E,Uppercase E
70,F,Uppercase F
71,G,Uppercase G
72,H,Uppercase H
73,I,Uppercase I
74,J,Uppercase J
75,K,Uppercase K
76,L,Uppercase L
77,M,Uppercase M
78,N,Uppercase N
79,O,Uppercase O
80,P,Uppercase P
81,Q,Uppercase Q
82,R,Uppercase R
83,S,Uppercase S
84,T,Uppercase T
85,U,Uppercase U
86,V,Uppercase V
87,W,Uppercase W
88,X,Uppercase X
89,Y,Uppercase Y
90,Z,Uppercase Z
91,[,Left Bracket
92,\,Backslash
93,],Right Bracket
94,^,Carrot
95,_,Underscore
96,`,Grave Mark
97,a,Lowercase a
98,b,Lowercase b
99,c,Lowercase c
100,d,Lowercase d
101,e,Lowercase e
102,f,Lowercase f
103,g,Lowercase g
104,h,Lowercase h
105,i,Lowercase i
106,j,Lowercase j
107,k,Lowercase k
108,l,Lowercase l
109,m,Lowercase m
110,n,Lowercase n
111,o,Lowercase o
112,p,Lowercase p
113,q,Lowercase q
114,r,Lowercase r
115,s,Lowercase s
116,t,Lowercase t
117,u,Lowercase u
118,v,Lowercase v
119,w,Lowercase w
120,x,Lowercase x
121,y,Lowercase y
122,z,Lowercase z
123,{,Left Curly Brace
124,|,Pipe
125,},Right Curly Brace
126,~,Tilde
127,DEL,Delete
128,€,Uppercase cedilla
129,HOP,High Octed Preset
130,‚,
131,ƒ,
132,„,
133,…,
134,†,
135,‡,
136,ˆ,
137,‰,
138,Š,
139,‹,
140,Œ,
141,RI,Reverse Line Feed
